composer,piece,top_recommendation,date,reviewer,podcast
"Elgar, Edward","Violin Sonata in E minor, Op 82","Nigel Kennedy (violin), Peter Pettinger (piano)
CHANDOS CHAN 8380 (CD)",2001-03-03T00:00:00Z,NA,NA
"Ibert, Jacques",Divertissement,"Paris Conservatoire Orchestra, Jean Martinon (conductor))
DECCA 448 571-2 (CD)",2001-02-24T00:00:00Z,NA,NA
"Beethoven, Ludwig Van","Piano Sonata No 14 in C sharp minor, Op 27/2 ""Moonlight""","Radu Lupu (piano)
BELART 450 004-2 (CD)",2001-02-17T00:00:00Z,NA,NA
"Palestrina, Giovanni Pierluigi da",Missa Papae Marcelli,"Tallis Scholars, Peter Phillips (director)  
(rec. live in Rome, 1994)
GIMELL",2001-02-10T00:00:00Z,Tess Knighton,NA
"Schubert, Franz",Piano Trio No 2 in Eb D.929,"András Schiff (piano), Yuuko Shiokawa (violin), Miklos Perenyi (cello)
TELDEC 0630 13151-2 (2-CD)",2001-02-03T00:00:00Z,NA,NA
"Verdi, Giuseppe",Otello,"Placido Domingo (Otello), Cheryl Studer (Desdemona), Sergei Leiferkus (Iago),  Bastille Opera Chorus & Orchestra, Myung-Whun Chung (conductor)
DG 439 805-2 (2-CD)",2001-01-27T00:00:00Z,Michael Oliver,NA
"Sibelius, Jean",Symphony No 1 in E minor,"Boston Symphony Orchestra, Sir Colin Davis (conductor)
PHILIPS 446 157-2 (2-CD)",2001-01-20T00:00:00Z,NA,NA
"Mozart, Wolfgang Amadeus","Serenade No 10 in B flat 'Gran Partita' 
K.361/370a","Berlin Philharmonic Wind Quintet  
ORFEO C 188 891 A (CD)",2001-01-13T00:00:00Z,NA,NA
"Rachmaninov, Sergei","Symphonic Dances, Op 45","Royal Concertgebouw Orchestra, Vladimir Ashkenazy (conductor) 
DECCA 430 733-2 (CD)",2001-01-06T00:00:00Z,Martin Cotton,NA
"Messiaen, Olivier",Vingt Regards sur l’enfant Jesus,"Yvonne Loriod (piano)  
 ERATO 4509 96222-2 (3-CD)",2000-12-30T00:00:00Z,Sarah Walker,NA
"Massenet, Jules",Manon,"Angela Gheorghiu (Manon),  Roberto Alagna (Le Chevalier Des Grieux),  Earle Patriarco (Lescaut), José van Dam (Le Comte  Des Grieux), Orchestre Symphonique et Choeurs de  la Monnaie, Antonio Pappano (conductor)
EMI  CDS 5 57005-2 (3-CD)",2000-12-23T00:00:00Z,NA,NA
"Bach, Johann Sebastian","Keyboard Partitas
BWV 825-830","Christophe Rousset (harpsichord)
L’OISEAU-LYRE 440 217-2 (2-CD)",2000-12-09T00:00:00Z,NA,NA
"Schumann, Robert",Piano Quintet in E flat Op 44,"Menahem Pressler (piano), 
Emerson Quartet (recorded 1993)
DG 445 848-2 (CD)",2000-12-02T00:00:00Z,NA,NA
