composer,piece,top_recommendation,date,reviewer,podcast
"Prokofiev, Sergei",Symphony No 5,"Bergen Philharmonic Orchestra
Andrew Litton (conductor)  
BIS BIS2124",2022-01-08T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0bg3wnq
"Mozart, Wolfgang Amadeus",Piano Concerto No 20 in D minor,"Martha Argerich (piano)
Orchestra Mozart
Claudio Abbado (conductor)  
DG 4791033",2022-01-01T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0bbv1c4
"Beethoven, Ludwig Van","Cello Sonata No 3 in A Major, Op 69","Jacqueline du Pré (cello)
Daniel Baremboim (piano)
Warner Classics  5733322",2021-12-18T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0bbcp6n
"Shostakovich, Dmitri",Leningrad Symphony,"Leonard Bernstein (condcutor)  
Chicago Symphony Orchestra  
DG 4777587",2021-12-11T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0b9p2q2
"Brahms, Johannes",String Quintet No 1,"Nash Ensemble  
Onyx  ONYX4043",2021-12-04T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0b8sjp5
"Schütz, Heinrich",Survey,Concerto Palatino & Cantus Cölln             Konrad Junghänel (conductor)                           Harmonia Mundi HMC901850/51,2021-11-27T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0b8cb18
"Mozart, Wolfgang Amadeus","Divertimento for String Trio in Eb, K.563","Trio Zimmermann: 
Frank Peter Zimmermann (violin) 
Antoine Tamestit (viola) 
Christian Poltéra (cello)  
BIS  BISSACD1817",2021-11-20T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0b5lrzg
"Strauss, Richard",Alpine Symphony,Berliner Philharmoniker                                    Herbert von Karajan (conductor)                        Deutsche Grammophon 4390172,2021-11-13T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0b4855g
"Zelenka, Jan Dismas",Survey,"Hana Blažíková (soprano), Markéta Cukrová (alto), Sebastian Monti (tenor), Tomáš Král (bass), Marian Krejcik (bass)
Collegium 1704 & Collegium Vocale 1704
Václav Luks (director)  
Accent  ACC24244",2021-11-06T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0b2wnp6
"Elgar, Edward",Violin Concerto,"Nigel Kennedy (violin)
City of Birmingham Symphony Orchestra, Simon Rattle
EMI  5564132",2021-10-30T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0b1gbf4
"Mendelssohn, Felix",Octet,"James Ehnes (violin)  
Seattle Chamber Music Octet
Onyx  ONYX4060",2021-10-23T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0b01sdt
"Haydn, Joseph",Missa in tempore belli,"Nikolaus Harnoncourt (conductor) 
Dorothea Röschmann (soprano)
Elisabeth von Magnus (mezzo-soprano)
Herbert Lippert (tenor) 
Oliver Widmer (bass baritone)
Concentus musicus Wien & Arnold Schoenberg Chor
Warner  2564660467",2021-10-16T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09ywvch
"Lehár, Franz",The Merry Widor,"Lovro von Matačić (conductor)
Elisabeth Schwarzkopf (soprano)
Eberhart Wächter (baritone) 
Hanny Steffek, (soprano)
Nicolai Gedda (tenor) 
Philharmonia Orchestra
Warner 567370-2",2021-10-09T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09y8pzm
"Bach, Johann Sebastian",Coffee Cantata,"Masaaki Suzuki (conductor)  
Carolyn Sampson (soprano)
Makoto Sakurada (tenor)
Stephan Schreckenberger (bass)
Bach Collegium Japan
BIS BISCD1411  
&
BIS2491",2021-10-02T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09xkygv
"Saint-Saëns, Camille",Carnival of the Animals,Renaud Capuçon (violin)                      Gautier Capuçon (cello)                                Frank Braley (piano)                                 Michel Dalberto (piano)                        Emmanuel Pahud (flute)                            Paul Meyer (clarinet)                               David Guerrier (trumpet)                                Marie-Pierre Langlamet (harp)            Béatrice Muthelet (viola)                            Esther Hoppe (violin)                             Janne Saksala (double bass)                         Florent Jodelet (percussion)                              Erato 5456032,2021-09-25T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09x2cr7
"Schumann, Robert",Liederkreis Op 39,"Nathalie Stutzman (contralto)                  Catherine Collard (piano)
RCA G010000280519T",2021-09-18T00:00:00Z,Allyson Devenish,https://www.bbc.co.uk/programmes/p09ww607
"Rachmaninov, Sergei",Variations on a Theme by Paganini,"Daniil Trifonov (piano)
Philadelphia Orchestra 
Yannick Nézet-Séguin  (conductor)  
DG 4794970",2021-07-24T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09qdxrn
"Liszt, Franz",Sonata in B Minor,"Martha Argerich  (piano)  
DG  4474302",2021-07-17T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09pjf61
"Bernstein, Leonard",Chichester Psalms,"Leonard Bernstein  (conductor)  
Felicia Montealegre (speaker)
Jennie Tourel (mezzo-soprano) 
John Bogart (alto)
New York Philharmonic Orchestra
Sony  88697279882  (10 CD set)  
OR  Sony  G010000934541Z  (download)",2021-07-10T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09p42ng
"Beethoven, Ludwig Van",Kreutzer Sonata,"Patricia Kopatchinskaja (violin) 
Fazil Say (piano)
Naïve  V5146",2021-07-03T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09ncrq5
"Mozart, Wolfgang Amadeus",Quintet for Piano and Wind K. 452,"Alfred Brendel (piano)  
Klaus Thunemann (bassoon)
Hermann Baumann (horn)
Eduard Brunner (clarinet)
Heinz Holliger (oboe) 
Philips  4757347",2021-06-26T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09mps1j
"Mahler, Gustav",Das Lied von der Erde,"Marc Albrecht  (conductor) 
Alice Coote (mezzo-soprano)
Burkhard Fritz (tenor)   
Netherlands Philharmonic Orchestra
Pentatone PTC5186502 (Hybrid SACD)",2021-06-19T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09m197s
"Orff, Carl",Carmina Burana,"Riccardo Muti (conductor)  
Arleen Auger (soprano)
John van Kesteren (tenor)
Jonathan Summers (baritone)
Philharmonia Orchestra & Choir
Warner Classics  5864272",2021-06-12T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09ldghr
"Sibelius, Jean",Violin Concerto,"Paavo Berglund (conductor)  
Ida Haendel (violin)
Bournemouth Symphony Orchestra
Warner  9029518261 (download)    

Also available:  
Testament  ASD3199  (vinyl)",2021-06-05T00:00:00Z,Leah Broad,https://www.bbc.co.uk/programmes/p09kqvgs
"Bach, Johann Sebastian",Motets,"Masaaki Suzuki (conductor) 
Yukari Nonoshita & Aki Matsui (soprano)
Damien Guillon (counter-tenor) 
Satoshi Mizukoshi (tenor)
Dominik Wörner (bass)
Bach Collegium Japan
BIS BISSACD1841 (Hybrid SACD) 
",2021-05-29T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09k4ysb
"Shostakovich, Dmitri",Piano Concerto No. 2,"Vasily Petrenko (conductor)
Boris Giltburg (piano) 
Rhys Owens (trumpet)
Royal Liverpool Philharmonic Orchestra
Naxos 8573666",2021-05-22T00:00:00Z,Yshani Perinpanayagam,https://www.bbc.co.uk/programmes/p09jg1ch
"Bach, CPE",Cello Concerto in A Major,"Jonathan Cohen (conductor)  
Nicolas Altstaedt (cello) 
Arcangelo (ensemble)  
Hyperion: CDA68112",2021-05-15T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09hsxf9
"Smetana, Bedřich",Má Vlast,"Jakub Hrusa (conductor)
Prague Philharmonia
Supraphon SU 4032-2
",2021-05-08T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09h7wfq
"Haydn, Joseph",Symphony No. 92 in G major (Oxford),"Paavo Berglund (conductor)
Finnish Chamber Orchestra
Ondine ODE8012
",2021-05-01T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09ghvxk
"Stravinsky, Igor",Violin Concerto in D,"Viktoria Mullova (violin)
Los Angeles Philharmonic
Esa-Pekka Salonen (conductor)
Decca 4830731
",2021-04-24T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09fstyk
"Schumann, Robert",Piano Quintet in E flat Op 44,"Paul Gulda (piano)
Hagen Quartet
Deutsche Grammophon E4471112
",2021-04-17T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09f1zyf
"Tchaikovsky, Pytor Ilych","Symphony No. 5 in E minor, Op. 64","Oslo Philharmonic Orchestra
Mariss Jansons (conductor)
Chandos CHAN8351
",2021-04-03T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09crsp5
"Mozart, Wolfgang Amadeus","Piano Concerto No 24 in C minor, K 491","Richard Goode (piano)
Orpheus Chamber Orchestra
Nonesuch 0349712846",2021-03-27T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09c4b5v
"Monteverdi, Claudio",Madrigals,"Third book of Madrigals
Concerto Italiano
Rinaldo Alessandrini (director)
Naive OP30580",2021-03-20T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09b94y3
"Ravel, Maurice",Introduction and Allegro,"Emannuel Pahud (flute)
Wenzel Fuchs (clarinet)
Marie-Pierre Langlamet (harp)
Christophe Horak (violin)
Simon Roturier (violin)
Ignacy Miecznikowski (viola)
Bruno Delepaire (violoncello)
Indésens INDE139",2021-03-13T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p099q6t5
"Debussy, Claude",Études,"Debussy - Complete Works for Solo Piano Volume 4
Jean-Efflam Bavouzet (piano)
Chandos CHAN10497",2021-03-06T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0990w03
"Despres, Josquin",Survey,"Josquin: Missa Pange lingua & Missa La sol fa re mi
The Tallis Scholars
Peter Phillips (conductor)
Gimell CDGIM009
https://www.gimell.com/cdgim009-josquin-missa-pange-lingua",2021-02-27T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p098d0q4
"Bruckner, Anton",Symphony No. 6,"Staatskapelle Dresden
Eugen Jochum (conductor)
Warner 9029526184",2021-02-20T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p097w8nx
"Stravinsky, Igor",Pulcinella,"Kammerorchester Basel
Christopher Hogwood (conductor)
Arte Nova G010001717934R (download only)
(c/w Malipiero & Casella)",2021-02-13T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0970zc1
"Bartók, Béla",String Quartet No. 5,"Bartok: String Quartets Nos 1 - 6
Takács Quartet
Decca 4552972",2021-02-06T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p096chmb
"Humperdinck, Engelbert","Hansel and Gretel
","Anne Sofie von Otter (Hansel), Barbara Bonney (Gretel), Marjana Lipovsek (Witch), Hanna Schwarz (Mother), Andreas Schmidt (Father), Barbara Hendricks (Sandman), Eva Lind (Dew Fairy)
Symphonie-Orchester des Bayerischen Rundfunks
Tölzer Knabenchor
Jeffrey Tate (conductor)
Warner Classics 7540222",2021-01-30T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p095q917
"Vaughan Williams, Ralph",Songs of Travel,"Bryn Terfel (baritone)
Malcolm Martineau (piano)
DG 4459462",2021-01-23T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p094ft8q
"Handel, George Frideric",Tamerlano,"Xavier Sabata, Max Emanuel Cencic, John Mark Ainsley, Karina Gauvin, Ruxandra Donose, Pavel Kudinov
Il Pomo d’Oro
Riccardo Minasi (conductor)
Naïve Records V5373",2021-01-16T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p094ct63
"Rachmaninov, Sergei",Piano Concerto No. 3,"Stephen Hough (piano)
Dallas Symphony Orchestra
Andrew Litton (conductor)
Hyperion CDA67501/2 (2 CDs)",2021-01-09T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p094cnbz
"Brahms, Johannes","Horn Trio, Op 40","David Guerrier (horn)
Renaud Capuçon (violin)
Nicolas Angelich (piano)
Warner Classics 9029583165 (3 CDs)",2021-01-02T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p093g9p8
"Bach, Johann Sebastian",Christmas Oratorio,"Malin Hartelius (soprano)
Kristina Hammarström (alto)
Jörg Dürmüller (tenor)
Detlef Roth (baritone)
Combattimento Consort Amsterdam
Capella Amsterdam
Jan Willem de Vriend (conductor)
Challenge Classics CC76607 (2 Hybrid SACDs) or CC76608 (download)",2020-12-26T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0925gwl
"Mahler, Gustav",Symphony No. 1 in D major,"Columbia Symphony Orchestra
Bruno Walter (conductor)
Sony 19075923242 (77 CDs) or G0100040942598 (download)",2020-12-19T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p09259qs
"Franck, César",Three Organ Chorals,"Olivier Latry (Grand Organ of Notre-Dame, Paris, France)
Deutsche Grammophon 4791115",2020-12-12T00:00:00Z,Anna Lapwood,https://www.bbc.co.uk/programmes/p091k73j
"Strauss, Richard",Horn Concerto No. 2 in E flat major,"Norbert Hauptmann (horn)
Berliner Philharmoniker
Herbert von Karajan
Deutsche Grammophon  E4577252",2020-12-05T00:00:00Z,Sarah Willis,https://www.bbc.co.uk/programmes/p090x4vp
"Copland, Aaron",Clarinet Concerto in A major K622,"Richard Hosford (clarinet)
Chamber Orchestra of Europe
Thierry Fischer (conductor)
COE Records CDCOE811",2020-11-28T00:00:00Z,Mark Simpson,https://www.bbc.co.uk/programmes/p09161m2
"Mozart, Wolfgang Amadeus",The Magic Flute,"Marlis Petersen (soprano, Pamina)
Daniel Behle (tenor, Tamino)
Anna-Kristiina Kaappola (soprano, Queen of the Night)
Marcos Fink (bass-baritone, Sarastro)
Daniel Schmutzhard (baritone, Papageno)
Sunhae Im (soprano, Papagena)
RIAS Kammerchor
Akademie für Alte Musik Berlin
René Jacobs (conductor)
Harmonia Mundi HMC902068/70 (3 CDs)",2020-11-21T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p08zlytg
"Mendelssohn, Felix","String Quartet No. 6 in F minor, Op. 80","Quatuor Ebène
Erato 4645462",2020-11-14T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p08z3y08
"Beethoven, Ludwig Van","Piano Sonata No 29 in B flat, Op 106 'Hammerklavier'","Mitsuko Uchida (piano)
Philips 4758662",2020-11-07T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p08y7lcj
"Janáček, Leoš",The Cunning Little Vixen,"Lucia Popp (soprano, Vixen)
Dalibor Jedlička (bass, Forester)
Eva Randová (mezzo-soprano, Fox)
Eva Zigmundova (mezzo-soprano, Forester’s Wife)
Vladimir Krejcik (tenor, Schoolmaster)
Vienna Philharmonic
Charles Mackerras (conductor) 
Decca 4171292",2020-10-31T00:00:00Z,Nigel Simeone,https://www.bbc.co.uk/programmes/p08xckrz
"Pergolesi, Giovanni Battista",Stabat Mater,"Barbara Bonney (soprano)
Andreas Scholl (countertenor)
Les Talens Lyriques
Christophe Rousset (director)
Decca 4661342",2020-10-24T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p08wf269
"Dvořák, Antonín","Symphony No. 7 in D minor, Op. 70","Czech Philharmonic Orchestra
Jiří Bělohlávek (conductor)
Decca 4786757 (6 CDs)",2020-10-17T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p08w0tyl
"Brahms, Johannes","Piano Quintet in F minor, Op. 34","András Schiff (piano)
Takács Quartet
Decca 4756525 (2 CDs) or 4305292 (download)",2020-10-10T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p08v7f7s
"Schumann, Robert","Symphony No 3 ""Rhenish""","Deutsche Kammerphilharmonie
Paavo Järvi (conductor)
Sony G010002690676H",2020-10-03T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p08tv84b
"Mozart, Wolfgang Amadeus",Mass in C minor K. 427,"Carolyn Sampson (soprano)
Olivia Vermeulen (mezzo-soprano)
Makoto Sakurada (tenor)
Christian Immler (baritone)
Bach Collegium Japan Chorus
Bach Collegium Japan
Masaaki Suzuki (director)
BIS BIS2171 (Hybrid SACD)",2020-09-26T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p08swdbs
"Tchaikovsky, Pytor Ilych","Eugene Onegin, Op.24, TH.5","Dmitri Hvorostovsky (baritone, Eugene Onegin)	
Nuccia Focile (soprano, Tatyana) 
Neil Shicoff (tenor, Lensky) 
Olga Borodina (mezzo-soprano, Olga) 
Alexander Anisimov (Prince Gremin)
St.Petersburg Chamber Choir
Orchestre de Paris 
Semyon Bychkov (conductor)
Philips 4382352 (download) or 4757017 (2 CDs)",2020-09-19T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p08s6bpn
"Ravel, Maurice",String Quartet in F major,"Quatuor Ébène
Erato 519045 2 (CD or download)
",2020-03-14T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0873b1h
"Vivaldi, Antonio","Vivaldi’s ‘L’estro armonico’ – 12 concerti, Op. 3","Rachel Podger (violin & director)
Brecon Baroque
Channel CCSSA36515 (2 Hybrid SACDs)
",2020-03-07T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p086gg5j
"Bartók, Béla","Piano Concerto No. 3, Sz. 119, BB 127","Jean-Efflam Bavouzet (piano)
BBC Philharmonic
Gianandrea Noseda (conductor)
Chandos CHAN10610
",2020-02-29T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p085m1r5
"Grieg, Edvard","Holberg Suite, Op. 40","Academy of St Martin in the Fields (1984 recording)
Sir Neville Marriner (conductor)
Philips 4127272 and Eloquence ELQ4565612 
",2020-02-22T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p084md8w
"Poulenc, Francis",Gloria,"Luba Orgonásová (soprano)
Netherlands Radio Choir
Royal Concertgebouw Orchestra
Mariss Jansons (conductor)
RCO Live RCO06003 (Hybrid SACD)
",2020-02-15T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p083q095
"Mozart, Wolfgang Amadeus","Symphony No.39 in E-Flat Major, K.543","Freiburger Barockorchester
René Jacobs (conductor)
Harmonia Mundi HMC901959 (download only)
",2020-02-08T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p082x3v0
"Chopin, Frédéric",The Four Scherzi,"Sviatoslav Richter (July 1977, Munich)
Alto ALC1159 or Olympia MKM53 (download only)
",2020-01-25T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p081ly81
"Beethoven, Ludwig Van","Symphony No. 1 in C major, Op. 21","Danish Chamber Orchestra
Ádám Fischer
Naxos 8505251 (5 CDs or download)
",2020-01-18T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p080z3wh
"Elgar, Edward",Enigma Variations,"London Symphony Orchestra
Pierre Monteux
Decca 4834711 (24CD set or download)
Also available on Eloquence 4805019 (download) and Decca 4523032 (download)
",2020-01-04T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p07zrhgw
"Schumann, Robert",Dichterliebe Op.48,"Christian Gerhaher (baritone)
Gerold Huber (piano) 
RCA 82876589952 (Download only)
",2019-12-28T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p07zmp9w
"Tchaikovsky, Pyotr Ilyich",The Nutcracker,"Chorus of the Mariinsky Theatre
Mariinsky (Kirov) Orchestra 
Valéry Gergiev (conductor)
Philips 4621142 (download only) and Decca 4784273 (6 CDs)
",2019-12-21T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p07zmdjb
"Schubert, Franz","Quintet in A major, D.667 ""Trout""","Cyril Huvé (piano)
Hausmusik
Chi-chi Nwanoku (double bass)
Warner Classics 9029553889 (download only)
",2019-12-14T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p07y21yg
"Delibes, Léo",Lakmé,"Mady Mesplé (soprano)
Danielle Millet (mezzo-soprano)
Charles Burles (tenor)
Roger Soyer (bass-baritone)
Jean-Christophe Benoit (baritone)
Bernadette Antoine (soprano)
Monique Linval (soprano)
Agnès Disney (mezzo-soprano)
Joseph Peyron (tenor)
Chœurs et Orchestre du Théâtre National de l’Opéra-Comique
Alain Lombard (conductor)
Erato 9029573486 (2CDs)
",2019-12-07T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p07xd2gg
"Purcell, Henry",Dido and Aeneas Z.626,"Rebecca Outram (soprano)
Carys Lane (soprano)
Sarah Tynan (soprano)
Lucy Crowe (soprano)
Sarah Connolly (mezzo-soprano)
Patricia Bardon (mezzo-soprano)
William Purefoy (counter-tenor)
John Mark Ainsley (tenor)
Gerald Finley (baritone) 
Choir & Orchestra of the Age of Enlightenment
Elizabeth Kenny (director)
Steven Devine (director)
Chaconne CHAN0757
",2019-11-30T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p07wt7fl
"Haydn, Joseph","Symphony No.102 in B flat major, H.1:102","Hanover Band
Roy Goodman (director, fortepiano)
Helios CDH55127 
",2019-11-23T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p07w31f6
"Stravinsky, Igor",Symphony of Psalms,"Toronto Festival Singers
CBC Symphony Orchestra
Elmer Iseler (chorus master)
Igor Stravinsky (conductor)
Sony 88875126242 (3CDs or download)
",2019-11-16T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p07vdn53
"Mahler, Gustav",Symphony No. 3,"Jessye Norman (soprano)
Wiener Staatsoper
Wiener Sängerknaben
Vienna Philharmonic Orchestra
Claudio Abbado (conductor)
Deutsche Grammophon 410 7152 (2CDs) or 447 0232 (12CDs)
",2019-11-09T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p07tr2pk
